Team,Opposing Team,Opposing Team Player,Fantasy Line,Fantasy Bookie,Stat,Odds,Sportsbook Bookie,Bet Over/Under,L10 Hit Rate
Dallas Mavericks,Denver Nuggets,Jamal Murray,4.0,Prize Picks,REB,-152,fanduel,UNDER,50%
Dallas Mavericks,Denver Nuggets,Jamal Murray,7.0,Prize Picks,AST,-152,fanduel,UNDER,50%
LA Clippers,Atlanta Hawks,Dejounte Murray,5.0,Prize Picks,REB,-148,fanduel,UNDER,60%
Milwaukee Bucks,Phoenix Suns,Kevin Durant,7.0,Prize Picks,REB,-188,fanduel,OVER,50%
Milwaukee Bucks,Phoenix Suns,Bradley Beal,4.5,Prize Picks,REB,-245,fanduel,OVER,30%
Milwaukee Bucks,Phoenix Suns,Grayson Allen,3.5,Prize Picks,REB,-220,fanduel,UNDER,30%
Milwaukee Bucks,Phoenix Suns,Devin Booker,6.5,Prize Picks,AST,-158,fanduel,OVER,40%
Milwaukee Bucks,Phoenix Suns,Bradley Beal,5.0,Prize Picks,AST,-188,fanduel,UNDER,70%
Milwaukee Bucks,Phoenix Suns,Bradley Beal,1.5,Prize Picks,3PM,-172,fanduel,UNDER,70%
Orlando Magic,Toronto Raptors,Immanuel Quickley,5.0,Prize Picks,REB,-148,fanduel,UNDER,50%
