Team,Defense Rank,Stat,Position,Opposing Player,Opposing Player Team,PRJ Line,Odds,L15 Hit Rate
Charlotte Hornets,1,PTS,G,Anfernee Simons,Portland Trail Blazers,23.5,-115,46.666666666666664%
Charlotte Hornets,2,REB,G,Anfernee Simons,Portland Trail Blazers,3.5,-115,53.333333333333336%
Charlotte Hornets,2,AST,G,Anfernee Simons,Portland Trail Blazers,6.5,106,60.0%
Cleveland Cavaliers,5,PTS,F,Kyle Kuzma,Washington Wizards,21.5,-115,46.666666666666664%
Cleveland Cavaliers,5,REB,F,Kyle Kuzma,Washington Wizards,6.5,100,60.0%
Cleveland Cavaliers,4,AST,F,Kyle Kuzma,Washington Wizards,3.5,-130,40.0%
Denver Nuggets,2,PTS,F,Draymond Green,Golden State Warriors,8.5,-128,53.333333333333336%
Denver Nuggets,2,PTS,F,Jonathan Kuminga,Golden State Warriors,16.5,-120,40.0%
Denver Nuggets,2,PTS,F,Andrew Wiggins,Golden State Warriors,13.5,-125,40.0%
Denver Nuggets,3,REB,F,Draymond Green,Golden State Warriors,6.5,-122,40.0%
Denver Nuggets,3,REB,F,Jonathan Kuminga,Golden State Warriors,5.5,-138,46.666666666666664%
Denver Nuggets,3,REB,F,Andrew Wiggins,Golden State Warriors,4.5,-138,46.666666666666664%
Denver Nuggets,1,AST,F,Draymond Green,Golden State Warriors,5.5,-111,46.666666666666664%
Golden State Warriors,1,PTS,C,Nikola Jokic,Denver Nuggets,26.5,-104,40.0%
Golden State Warriors,1,REB,C,Nikola Jokic,Denver Nuggets,12.5,-113,46.666666666666664%
Golden State Warriors,1,AST,C,Nikola Jokic,Denver Nuggets,9.5,-115,60.0%
Los Angeles Lakers,4,PTS,G,Grayson Allen,Phoenix Suns,12.5,-128,73.33333333333333%
Los Angeles Lakers,4,PTS,G,Devin Booker,Phoenix Suns,29.5,-104,53.333333333333336%
Los Angeles Lakers,4,PTS,G,Eric Gordon,Phoenix Suns,13.5,-115,46.666666666666664%
Milwaukee Bucks,4,AST,G,Buddy Hield,Philadelphia 76ers,3.5,-120,46.666666666666664%
Milwaukee Bucks,4,AST,G,Tyrese Maxey,Philadelphia 76ers,5.5,118,40.0%
New Orleans Pelicans,2,PTS,G,Alex Caruso,Chicago Bulls,8.5,-118,26.666666666666668%
New Orleans Pelicans,2,PTS,G,Ayo Dosunmu,Chicago Bulls,14.5,-122,53.333333333333336%
New Orleans Pelicans,2,PTS,G,Coby White,Chicago Bulls,22.5,-115,53.333333333333336%
New Orleans Pelicans,1,REB,G,Alex Caruso,Chicago Bulls,3.5,120,40.0%
New Orleans Pelicans,1,REB,G,Ayo Dosunmu,Chicago Bulls,3.5,-142,60.0%
New Orleans Pelicans,1,REB,G,Coby White,Chicago Bulls,4.5,-132,33.33333333333333%
New Orleans Pelicans,1,AST,G,Alex Caruso,Chicago Bulls,3.5,-138,53.333333333333336%
New Orleans Pelicans,1,AST,G,Ayo Dosunmu,Chicago Bulls,3.5,-102,60.0%
New Orleans Pelicans,1,AST,G,Coby White,Chicago Bulls,5.5,-118,46.666666666666664%
Orlando Magic,3,REB,G,Bogdan Bogdanovic,Atlanta Hawks,3.5,-128,46.666666666666664%
Orlando Magic,3,REB,G,Dejounte Murray,Atlanta Hawks,5.5,-146,33.33333333333333%
Philadelphia 76ers,2,PTS,C,Brook Lopez,Milwaukee Bucks,13.5,-124,40.0%
Philadelphia 76ers,2,REB,C,Brook Lopez,Milwaukee Bucks,5.5,-142,46.666666666666664%
Phoenix Suns,4,PTS,F,Rui Hachimura,Los Angeles Lakers,12.5,-102,53.333333333333336%
Phoenix Suns,4,REB,F,Rui Hachimura,Los Angeles Lakers,4.5,-144,60.0%
Portland Trail Blazers,5,PTS,G,Tre Mann,Charlotte Hornets,12.5,-118,20.0%
Portland Trail Blazers,5,REB,G,Tre Mann,Charlotte Hornets,4.5,-106,13.333333333333334%
Portland Trail Blazers,5,AST,G,Tre Mann,Charlotte Hornets,5.5,-150,13.333333333333334%
Washington Wizards,5,PTS,C,Jarrett Allen,Cleveland Cavaliers,17.5,-115,40.0%
Washington Wizards,5,PTS,C,Evan Mobley,Cleveland Cavaliers,15.5,-115,53.333333333333336%
